s,h,q_eq,f1,f2,regime
-1.95,0.35,1.0,1.6825,-2.058225,fixation
-1.95,0.4,1.0,1.78,-3.2136000000000005,fixation
-1.95,0.45,1.0,1.8775,-4.445025,fixation
-1.95,0.5,1.0,1.975,-5.7525,fixation
-1.95,0.55,1.0,2.0725,-7.136025,fixation
-1.95,0.6,1.0,2.17,-8.5956,fixation
-1.95,0.65,1.0,2.2675,-10.131225,fixation
-1.95,0.7,1.0,2.365,-11.7429,fixation
-1.95,0.75,1.0,2.4625,-13.430625,fixation
-1.95,0.8,1.0,2.56,-15.1944,fixation
-1.95,0.85,1.0,2.6574999999999998,-17.034224999999996,fixation
-1.95,0.9,1.0,2.755,-18.9501,fixation
-1.95,0.95,1.0,2.8525,-20.942024999999997,fixation
-1.95,1.0,1.0,2.95,-23.01,fixation
-1.95,1.05,0.9545454545454547,0.9684987884149395,-25.154024999999997,stable
-1.95,1.1,0.9166666666666667,0.9397387273493466,-27.3741,stable
-1.95,1.15,0.8846153846153848,0.9132802681189777,-29.670225,stable
-1.95,1.2,0.8571428571428572,0.888783269961977,-32.042399999999994,stable
-1.95,1.25,0.8333333333333334,0.8659793814432991,-34.490625,stable
-1.95,1.3,0.8125,0.8446532529874372,-37.014900000000004,stable
-1.95,1.35,0.7941176470588235,0.824629440175109,-39.61522500000001,stable
-1.95,1.4,0.7777777777777778,0.8057630736392745,-42.291599999999995,stable
-1.95,1.45,0.7631578947368421,0.7879330819392072,-45.04402499999999,stable
-1.95,1.5,0.7500000000000001,0.7710371819960861,-47.872499999999995,stable
-1.95,1.55,0.7380952380952381,0.7549881169513071,-50.777025,stable
-1.95,1.6,0.7272727272727273,0.7397107897664069,-53.757600000000004,stable
-1.95,1.65,0.7173913043478262,0.7251400502702435,-56.814224999999986,stable
-1.95,1.7,0.7083333333333334,0.7112189658390893,-59.946899999999985,stable
-1.95,1.75,0.7000000000000001,0.6978974548137221,-63.15562499999999,stable
-1.95,1.8,0.6923076923076924,0.6851311953352771,-66.4404,stable
-1.95,1.85,0.6851851851851852,0.6728807456894824,-69.801225,stable
-1.95,1.9,0.6785714285714286,0.6611108288022768,-73.23809999999999,stable
-1.95,1.95,0.6724137931034483,0.6497897453919705,-76.751025,stable
-1.95,2.0,0.6666666666666667,0.638888888888889,-80.34,stable
-1.9,-2.0,0.39999999999999997,-3.3846153846153757,-31.159999999999997,unstable
-1.9,-1.95,0.3979591836734694,-3.7014732766964342,-28.878099999999993,unstable
-1.9,-1.9,0.39583333333333337,-4.084507042253502,-26.668399999999995,unstable
-1.9,-1.85,0.39361702127659576,-4.556926917209772,-24.530900000000003,unstable
-1.9,-1.8,0.3913043478260869,-5.154241645244239,-22.4656,unstable
-1.9,-1.75,0.3888888888888889,-5.933649289099645,-20.472499999999997,unstable
-1.9,-1.7,0.3863636363636364,-6.993583868011044,-18.551599999999997,unstable
-1.9,-1.65,0.3837209302325581,-8.519048983099418,-16.702899999999993,unstable
-1.9,-1.6,0.38095238095238093,-10.903614457831049,-14.926400000000001,unstable
-1.9,-1.55,0.3780487804878049,-15.158687466380107,-13.2221,unstable
-1.9,-1.5,0.37499999999999994,-24.909090909090732,-11.589999999999995,unstable
-1.9,-1.45,0.37179487179487175,-70.23746701858639,-10.030099999999996,unstable
-1.9,-1.4,0.368421052631579,84.99999999989147,-8.542399999999995,unstable
-1.9,-1.35,0.3648648648648649,26.406743940992396,-7.1269,unstable
-1.9,-1.3,0.3611111111111111,15.604113110540109,-5.783599999999999,unstable
-1.9,-1.25,0.35714285714285715,11.058823529411839,-4.5125,unstable
-1.9,-1.2,0.35294117647058826,8.5542168674698,-3.313599999999998,unstable
-1.9,-1.15,0.34848484848484845,6.967291203556714,-2.186899999999996,unstable
-1.9,-1.1,0.34375,5.871254162042171,-1.1323999999999985,unstable
-1.9,-1.05,0.3387096774193548,5.068390947525516,-0.15009999999999948,unstable
-1.9,-1.0,0.33333333333333337,4.454545454545466,0.7600000000000007,unstable
-1.9,-0.95,0.3275862068965517,3.9696266610419775,1.5979000000000003,unstable
-1.9,-0.9,0.3214285714285714,3.5765265662172903,2.3635999999999995,unstable
-1.9,-0.85,0.3148148148148148,3.251083066490862,3.0571000000000006,unstable
-1.9,-0.8,0.3076923076923077,2.9768786127167592,3.6784,unstable
-1.9,-0.75,0.3,2.7423580786026176,4.227500000000001,unstable
-1.9,-0.7,0.2916666666666667,2.539142273655547,4.704400000000001,unstable
-1.9,-0.65,0.28260869565217395,2.360995157789281,5.1091,unstable
-1.9,-0.6,0.2727272727272727,2.2031662269129275,5.4416,unstable
-1.9,-0.55,0.2619047619047619,2.061957056220292,5.7019,unstable
-1.9,-0.5,0.25,1.934426229508196,5.89,unstable
-1.9,-0.45,0.2368421052631579,1.8181818181818188,6.0059,unstable
-1.9,-0.4,0.22222222222222224,1.7112299465240643,6.049599999999999,unstable
-1.9,-0.35,0.2058823529411765,1.6118589197478277,6.021100000000001,unstable
-1.9,-0.3,0.18749999999999997,1.5185444366689993,5.9204,unstable
-1.9,-0.25,0.16666666666666669,1.4298642533936652,5.7475,unstable
-1.9,-0.2,0.14285714285714285,1.3444108761329305,5.5024,unstable
-1.9,-0.15,0.11538461538461539,1.260688009544641,5.1851,unstable
-1.9,-0.1,0.08333333333333334,1.1769686706181202,4.795599999999999,unstable
-1.9,-0.05,0.045454545454545456,1.091075097009815,4.3339,unstable
-1.9,0.0,1.0,1.0,3.8,fixation
-1.9,0.05,1.0,1.095,3.1938999999999997,fixation
-1.9,0.1,1.0,1.19,2.5156,fixation
-1.9,0.15,1.0,1.285,1.7651000000000001,fixation
-1.9,0.2,1.0,1.38,0.9424000000000003,fixation
-1.9,0.25,1.0,1.475,0.04749999999999983,fixation
-1.9,0.3,1.0,1.5699999999999998,-0.9195999999999995,fixation
-1.9,0.35,1.0,1.665,-1.9588999999999996,fixation
-1.9,0.4,1.0,1.76,-3.0704000000000007,fixation
-1.9,0.45,1.0,1.855,-4.254099999999999,fixation
-1.9,0.5,1.0,1.95,-5.51,fixation
-1.9,0.55,1.0,2.045,-6.838100000000001,fixation
-1.9,0.6,1.0,2.1399999999999997,-8.238399999999999,fixation
-1.9,0.65,1.0,2.235,-9.710899999999999,fixation
-1.9,0.7,1.0,2.33,-11.2556,fixation
-1.9,0.75,1.0,2.425,-12.872499999999999,fixation
-1.9,0.8,1.0,2.52,-14.561599999999999,fixation
-1.9,0.85,1.0,2.615,-16.322899999999997,fixation
-1.9,0.9,1.0,2.71,-18.1564,fixation
-1.9,0.95,1.0,2.8049999999999997,-20.062099999999997,fixation
-1.9,1.0,1.0,2.9,-22.04,fixation
-1.9,1.05,0.9545454545454546,0.9687768996009074,-24.0901,stable
-1.9,1.1,0.9166666666666666,0.940268648185196,-26.2124,stable
-1.9,1.15,0.8846153846153847,0.9140384237099212,-28.406899999999993,stable
